CC00576XX16     0
CC00672BN13     0
CC00407BN11     2
CC00723XX14     5
CC00618XX16     7
CC00136AN13     8
CC00712XX11     10
CC00135AN12     10
CC00845BN21     11
CC00218AN12     11
CC00621XX11     11
CC00518XX15     13
CC00686XX19     14
CC00284BN13     15
CC00301XX04     15
CC00326XX13     15
CC00529AN18     15
CC00135BN12     16
CC00829XX21     17
CC00406XX10     17
CC00489XX20     18
CC00657XX14     30
CC00245AN15     30
CC00845AN21     31
CC00648XX22     33
CC00517XX14     35
CC00838XX22     36
CC00688XX21     36
CC00284AN13     36
CC00823XX15     37
CC00389XX19     38
CC00569XX17     40
CC00152AN04     41
CC00672AN13     41
CC00797XX23     42
CC00792XX18     43
CC00418AN14     43
CC00600XX06     44
CC00418BN14     44
CC00628XX18     45
CC00689XX22     45
CC00385XX15     45
CC00361XX07     45
CC00529BN18     46
CC00770XX12     46
CC00395XX17     47
CC00617XX15     47
CC00191XX11     47
